;Frage;Richtige Antwort;Alternative 1;Alternative 2;Info richtige Antwort
1;An welchem Fluss liegt Dresden?;Elbe.;Donau.;Main.;Die Elbe entspringt in Tschechien und fließt quer durch Deutschland. Der Elberadweg ist über 1000 Kilometer lang.
2;Wie heißt Dresdens berühmteste Grünanlage?;Großer Garten.;Kleiner Garten.;Botanischer Garten.;Der barocke Garten liegt nahe des Zentrums. Skulpturen, ein kleiner Palast und Blumen verzieren die Anlage.
3;Welcher Name ist auf keinem Dampfer zu finden?;Hamburg.;Leipzig.;Pillnitz.;Jeder der 11 Personendampfer hat seinen eigenen Namen. Aber Hamburg heißt keines dieser Schiffe.
4;Wie wird die Kunsthochschule Dresdens umgangssprachlich noch genannt?;Zitronenpresse.;Malerwerkstadt.;Engelshaus.;Die Kunsthochschule kam durch ihre Glaskuppel, die die Form einer Zitronenpresse hat, zu ihrem Spitznamen.
5;Wann findet in Dresden der jährliche Opernball statt?;Januar.;Juli.;März.;Der Semper-Opernball findet seit 2006 jährlich statt und ist das größte Klassik Entertainment Event im deutschsprachigen Raum.
6;Wann wurde die Frauenkirche wieder aufgebaut?;1996 bis 2005.;"1976 bis 1985 <break time=""1s""/>";"2001 bis 2006 <break time=""1s""/>";Die Frauenkirche wurde im Krieg vollständig zerstört. Es dauerte 60 Jahre, bis sie wieder eingeweiht werden konnte.
7;Was ist auf Dresdens Wappen abgebildet? ;Ein Löwe.;Die Frauenkirche.;Ein Adler.;Das schwarz goldene Wappen hat die Form eines Schildes und zeigt den sogenannten Meißner Löwen. Es geht auf die Wettiner aus dem Mittelalter zurück. 
8;Der Dresdner Striezelmarkt ist der älteste Weihnachtsmarkt von…?;Deutschland.;Sachsen.;Europa.;Den Striezelmarkt gibt es seit 1435. 2018 findet er zum 584. mal statt.
9;Welche Dresdner Elbbrücke ist mit 635 Metern die längste?;Waldschlösschenbrücke.;Autobahnbrücke.;Karola-brücke.;Die sehr umstrittene Waldschlösschenbrücke führte dazu, dass dem Elbtal der UNESCO Welterbetitel entzogen wurde. Die vierspurige Brücke wurde 2013 eröffnet.
10;Über welche Dresdner Elbbrücke führt der Sächsische Jakobsweg?;Augustusbrücke.;Blaues Wunder.;Albertbrücke.;Der sächsische Jakobsweg ist 300 Kilometer lang und führt unter anderem durch Chemnitz, Dresden und Zwickau.
11;In welchem Bundesland liegt Dresden?;Sachsen.;Berlin.;Bayern.;Sachsen grenzt an Polen und Tschechien. Dresden ist nur etwa 50 Kilometer von der tschechischen Grenze entfernt. 
12;Wie heißt Dresdens Oper?;Semperoper.;Bolschoi Theater.;Royal Opera House.;Das Orchester in der Semperoper heißt sächsische Staatskapelle und wurde bereits 1548 gegründet. 
13;Welcher Epoche ist die Frauenkirche zuzuordnen?;Barock.;Rennaissance.;Neuzeit.;Eine der Glocken im achtstimmigen Geläut heißt Maria. Sie ist die einzig erhaltene Glocke, die von 1734 bis 1925 hier ihren Dienst versah. 
