;Frage ;Richtige Antwort;Alternative 1;Alternative 2;Erläuterung;;;
1;Welcher der Folgenden Musiker gab auf der Ostseeinsel Fehmarn sein letztes Konzert?;Dschimmy Hendrix.;Elvis Presley.;Joe Cocker.;1970 auf dem Love and Peace Festivl auf der Insel Fehrmann.;Dschimmy Hendrix;Elvis Presley;Joe Cocker
2;Welchen zweiten Namen trägt die Ostsee?;Baltisches Meer.;Nordmeer.;Botttnischer Meerbusen.;"Es gibt verschiedene Deutungen darüber, warum die Ostsee auch den Namen Baltisches Meer trägt. Eine davon besagt, dass sich die Bezeichnung von ""Belt"", also Gürtel oder schmaler Wasserlauf, ableiten lässt.";Baltisches Meer;Nordmeer;Botttnischer Meerbusen
3;Verglichen mit der Nordsee ist der Salzgehalt der Ostsee…;gering.;sehr hoch.;genauso hoch.;Der geringere Salzgehalt in der Ostsee ist durch die geringe Verdunstung und die vielen Flüsse zu erklären, die ihr Süßwasser der Ostsee zuführen.;gering;sehr hoch;genauso hoch
4;Wie heißt Deutschlands größte Insel?;Rügen.;Fehmarn.;Fischland-Darß.;Die größte Insel Deutschlands liegt mit einer Fläche von 926 Quadratkilometern vor der pommerschen Ostseeküste.;Rügen;Fehmarn;Fischland-Darß
5;Wie viele Länder grenzen an die Ostsee?;neun.;sieben.;elf.;Deutschland, Dänemark, Schweden, Finnland, Russland, Estland, Lettland, Litauen und Polen grenzen an das nordeuropäische Binnenmeer.;neun;sieben;elf
6;Welche Ferienstraße verbindet den Bodensee mit der Ostsee?;Deutsche Alleenstraße.;Deutsche Burgenstraße.;Deutsche Fachwerkstraße.;Auf etwa 2.900 Kilometern erstreckt sich die Deutsche Alleenstraße von Konstanz bis nach Rügen.;Deutsche Alleenstraße;Deutsche Burgenstraße;Deutsche Fachwerkstraße
7;Welcher der folgenden Flüsse führt sein Wasser der Ostsee zu?;Weichsel.;Donau.;Weiße Elster.;Der längste Fluss Polens, die Weichsel, entspringt in den Beskiden und mündet nach 1.047 Kilometern in der Danziger Bucht.;Weichsel;Donau;Weiße Elster
8;Wie wird die Insel Fehmarn mit Spitznamen genannt?;Knusst.;Windjammer.;Kleiderbügel.;Im Norddeutschen ist Knusst das Brot-Endstück – und genauso klobig wirkt auch der Umriss der Insel.;Knusst;Windjammer;Kleiderbügel
9;Was erfand Wilhelm Bartelmann in den 1880er Jahren?;Den Strandkorb.;die krabben-pulmaschine.;den bademeister-hochsitz.;Für eine rheumakranke Dame fertigte der Korbmachermeister damals den ersten Strandkorb.;Den Strandkorb;die krabben-pulmaschine;den bademeister-hochsitz
10;Welche herausragende Sehenswürdigkeit befindet sich NICHT an der Ostseeküste?;Der älteste noch erhaltene Bahnhof Deutschlands.;Die älteste Galopprennbahn auf dem europäischen Kontinent.;Die älteste Schmalspurbahn Deutschlands.;Der älteste noch erhaltene deutsche Bahnhof von 1841 liegt in Goslaer im Harz.;Der älteste noch erhaltene Bahnhof Deutschlands;Die älteste Galopprennbahn auf dem europäischen Kontinent;Die älteste Schmalspurbahn Deutschlands
11;Welcher der folgenden Ostseebadeorte hat die längste Seebrücke?;Heringsdorf auf Usedom.;Heiligenhafen.;Selling auf Rügen.;508 Meter ist die Kaiser-Wilhelm-Brücke von Heringsdorf lang – und damit die längste Seebrücke Kontinentaleuropas.;Heringsdorf auf Usedom;Heiligenhafen;Selling auf Rügen
12;Wie alt ist die Ostsee?;12000.;20000.;5000.;Mit einem Alter von 12.000 Jahren ist die Ostsee aus geologischer Sicht ein junges Meer.;12000;20000;5000
13;Wie groß ist die Ostsee?;413.000 Quadratkilometer.;623.000 Quadratkilometer.;90.000 Quadratkilometer.;Die Ostsee nimmt damit mehr Patz als die Fläche von ganz Deutschland ein.;413.000 Quadratkilometer;623.000 Quadratkilometer;90.000 Quadratkilometer
14;Wie tief ist die Ostsee an ihrer tiefsten Stelle?;459 Meter.;90 Meter .;ein Kilometer.;Die Ostsee ist an ihrer tiefsten Stelle 459 Meter und durchschnittlich circa 52 Meter tief.;459 Meter;90 Meter ;ein Kilometer
15;Welcher Fluss fließt nicht in die Ostsee?;Rhein.;Oder.;Newa.;Der Rhein mündet in den Niederlanden in die Nordsee.;Rhein;Oder;Newa
16;Friert die Ostsee eigentlich zu?;nur der nördliche Teil.;Die Ostsee friert nie zu.;die Ostsee friert völlig zu.;Während der Winterzeit und auch bis in den Frühling ist der nördliche Teil der Ostsee oft zugefroren.;nur der nördliche Teil;Die Ostsee friert nie zu;die Ostsee friert völlig zu
17;Welches Tier ist für die Ostsee nicht typisch?;Eisbär.;Wale.;Robben.;Einige der typischen Tiere sind Wale und Robben. Eisbären sind ausschließlich in der Arktis verbreitet.;Eisbär;Wale;Robben
18;Wie heißt der giftigste Fisch in der Ostsee?;Petermännchen.;Hanselmann.;Jürgensson.;Das Petermännchen hat an seiner Rückenflosse Stacheln mit Gift, welches schmerzhafte Schwellungen hervorrufen kann.;Petermännchen;Hanselmann;Jürgensson
19;Gibt es haie in der Ostsee?;Ja, den Katzenhai.;den weißen Hai.;nein.;Der Katzenhai ist der einzige Hai, der in der Ostsee lebt. Für den Menschen ist er allerdings ungefährlich, da er keine Zähne besitzt.;Ja, den Katzenhai;den weißen Hai;nein
20;Warum sind die Seesterne in der Ostsee nicht so groß?;das Wasser der Ostsee ist nicht salzig genug..;Das Wasser ist zu kalt.;Das Wasser ist zu warm.;Seesterne in der Nordsee sind durch den höheren Salzgehalt größer.;das Wasser der Ostsee ist nicht salzig genug.;Das Wasser ist zu kalt;Das Wasser ist zu warm
21;Welcher Fisch lebt nicht in der Ostsee?;Skalar.;Knorrhahn.;Dorsch.;Der Skalar lebt im tropischen Südamerika.;Skalar;Knorrhahn;Dorsch
22;VOR WELCHEN VÖGELN MUSST DU AN DER OSTSEE DEIN ESSEN IN SICHERHEIT BRINGEN?;Möwen.;Spaßvögeln.;Quietscheenten.;In Deutschland tauchen 9 verschiedene Arten von Möwen auf.;Möwen;Spaßvögeln;Quietscheenten
23; WIE HEIßT DIE ROTE DAMPFLOKOMOTIVE IN BAD DOBERAN?;Die Molli.;Der Loko.;Der Hansdampf.;Die Dampfeisenbahn Molli geht mehrmals täglich auf schmaler Spur mit nostalgischem Gebimmel von Kühlungsborn nach Bad Doberan und zurück.;Die Molli;Der Loko;Der Hansdampf
24;Was ist ein Hühnergott? Man kann ihn am Ostseestrand finden.;Ein Stein mit Loch.;Ein Zauber-Ei.;Ein Hahn.;Nach altem slawischem Volksglauben helfen die Lochsteine beim Eierlegen. Ihren menschlichen Besitzern sollen sie Glück bringen.;Ein Stein mit Loch;Ein Zauber-Ei;Ein Hahn
25;WAS IST TYPISCHER OSTSEESCHMUCK?;Bernstein.;Perlen.;Diamanten.;Die besten Chancen Bernstein zu finden, haben Sammler nach Stürmen, vor allem im Herbst und Winter.;Bernstein;Perlen;Diamanten
26;WELCHES LAND LIEGT NICHT AN DER OSTSEE?;Tschechien.;Schweden.;Estland.;Tschechien hat ausschließlich Grenzen zu anderen Ländern.;Tschechien;Schweden;Estland
27;DIE HANSE BEZEICHNET EINE GEMEINSCHAFT VON…?;Kaufleuten Norddeutscher Städte.;Fischern der Nord- und Ostsee.;Segelschifffreunden.;Diese bestehen zum Teil seit dem 12. Jahrhundert und zählten in den Zeiten ihrer größten Ausdehnung beinahe 300 See- und Binnenstädte des nördlichen Europas.;Kaufleuten Norddeutscher Städte;Fischern der Nord- und Ostsee;Segelschifffreunden
28;Wo findet man den ältesten Leuchturm Deutschlands?;In Travemünde.;in Dahme.;auf Fehmarn.;Der Leuchtturm hat heute jedoch keine Bedeutung als Seezeichen mehr, sondern dient als Museum.;In Travemünde;in Dahme;auf Fehmarn
29;Wie heißen die bekannten norddeutschen Seemannslieder?;Shannties.;Schoten.;Folksongs.;Die Lieder wurden einst von Seemännern bei der Arbeit an Bord gesungen.;Shannties;Schoten;Folksongs
30;In der Ostssee leben...;Schweinswale.;Zwergwale.;Buckelwale.;Schweinswale werden bis zu einem meter 85 lang, leben ständig in deutschen Gewässern und gebären hier ihre Jungen.;Schweinswale;Zwergwale;Buckelwale
31;Welche deutsche Ostseeinsel ist eine geteilte Insel?;Usedom.;Hiddensee.;Rügen.;Die Östliche Seite der Insel gehört zu Deutschland, während die westliche zu Polen gehört.;Usedom;Hiddensee;Rügen
32;"Was wird auch das ""Gold der Ostsee"" genannt?";Bernstein.;eine besondere Muschelart.;die Fische der Ostsee.;Bernstein zählt zu den ältesten Schmucksteinen der Welt. Ihm wird eine schmerzstillende und beruhigende Wirkung nachgesagt.;Bernstein;eine besondere Muschelart;die Fische der Ostsee
33;WIE SCHMECKT DAS WASSER IN DER OSTSEE? ;Salzig.;Süß.;Bitter.;Die Ostsee hat einen Salzgehalt von 0,3 - 1,8 Prozent-;Salzig;Süß;Bitter
34;IN DER OSTSEE LEBEN KEINE…?;Meerschweinchen.;Aale.;Haie.;Das Meerschweinchen ist in Südamerika beheimatet.;Meerschweinchen;Aale;Haie
35;WAS BEGEGNET DIR NICHT BEIM BADEN IN DER OSTSEE?;Wackelpudding.;Quallen.;Algen.;Auch an der Ostsee gibt es verschiedene Quallenarten, worunter auch giftige sind.;Wackelpudding;Quallen;Algen
36;WAS KANNST DU AM OSTSEESTRAND NEBEN STEINEN AUCH SAMMELN?;Muscheln.;Gold.;Fleißbildchen.;Eine sehr typische und weit verbreitete Muschelart der Ostsee ist zum Beispiel die Miesmuschel.;Muscheln;Gold;Fleißbildchen
37; RÜGEN IST EINE INSEL WEIL?;DAS FESTLAND VON WASSER UMGEBEN IST.;DAS WASSER VON FESTLAND UMGEBEN IST.;Eine Palme drauf steht.;Rügen ist die größte Insel Deutschlands.;DAS FESTLAND VON WASSER UMGEBEN IST;DAS WASSER VON FESTLAND UMGEBEN IST;Eine Palme drauf steht
38;AUF RÜGEN FINDEST DU FELSEN AUS?;Kreide.;Gummi.;Sand.;Der größte Kreidefelsen ist der Königsstuhl mit einer Höhe von 118 Metern.;Kreide;Gummi;Sand
39;WAS KANNST DU AM STRAND DER OSTSEE AM BESTEN BAUEN?;Sandburgen.;Ikea-Regale.;Lego.;Deutschland besitzt 2247 Kilometer Ostseestrand.;Sandburgen;Ikea-Regale;Lego
40;WELCHEN TURM FINDET MAN IMMER MAL WIEDER AN DER OSTSEE?;Leuchtturm.;Wäscheturm.;Eiffelturm.;Leuchttürme dienen der Positionsbestimmung, zur Warnung vor Untiefen oder der Fahrwassermarkierung in der Schiffahrt.;Leuchtturm;Wäscheturm;Eiffelturm
41;WELCHER PIRAT GEHÖRTE ZU DEN WITALIENBRÜDERN?;Störtebeker.;Cäpt´n Flint.;Cäpt´n hook.;Der berühmte deutsche Pirat wurde vermutlich in Wismar geboren und trieb jahrelang sein Unwesen in Nord- und Ostsee.;Störtebeker;Cäpt´n Flint;Cäpt´n hook
42;DIE OSTSEE IST KEIN…?;Weltmeer.;Binnenmeer.;Brackwassermeer.;Zu den sieben Weltmeeren gehören der Pazifik, der Atlantik, der indische Ozean, sowie das arktische, das amerikanische, australasiatische und europäische Mittelmeer.;Weltmeer;Binnenmeer;Brackwassermeer
43;WIE LANG IST DIE KÜNSTLICHE WASSERSTRASSE „NORD-OSTSEE-KANAL“?;98 Kilometer.;1500 Kilometer.;23 Kilometer.;Diese Bundeswasserstraße ist die weltweit meistbefahrene künstliche Wasserstraße für Seeschiffe.;98 Kilometer;1500 Kilometer;23 Kilometer
44;WIE BREIT IST DER GRÖSSTE STRANDKORB DER WELT?;6 meter  40.;2 meter 80.;10 meter 30.;Er steht auf der Insel Usedom in Heringsdorf.;6 meter  40;2 meter 80;10 meter 30
45;WAS IST „LABSKAUS“?;RIND- UND SCHWEINEFLEISCH MIT ROLLMOPS UND EI.;PÜREE AUS RINDERHACKFLEISCH MIT SALZGURKE AUF BROT.;EINTOPF AUS FISCH MIT ROTER BEETE UND APFEL.;Das an der Ostsee typische Gericht wird außerdem in Norddeutschland, Norwegen, Dänemark, Schweden und in der Region um Liverpool gegessen.;RIND- UND SCHWEINEFLEISCH MIT ROLLMOPS UND EI;PÜREE AUS RINDERHACKFLEISCH MIT SALZGURKE AUF BROT;EINTOPF AUS FISCH MIT ROTER BEETE UND APFEL
46;DER RASENDE ROLAND IST…?;EINE SCHMALSPURBAHN AUF DER INSEL RÜGEN.;EINE STATUE VON „ROLAND DEM SCHNELLEN“ IN KIEL.;EIN SPRINTER AUS LUDWIGSLUST.;Der Rasende Roland fährt nun schon seit 1895 mit gemütlichen 30 kmh Höchstgeschwindigkeit über die Insel Rügen.;EINE SCHMALSPURBAHN AUF DER INSEL RÜGEN;EINE STATUE VON „ROLAND DEM SCHNELLEN“ IN KIEL;EIN SPRINTER AUS LUDWIGSLUST
;WAS IST KLÖNSCHNACK?;PLATTDEUTSCH FÜR: EIN SCHWÄTZCHEN HALTEN.;EINE FORM VON PLATTDEUTSCH IM SÜDEN HOLSTEINS.;EINE FORM VON PLATTDEUTSCH IM WESTEN VORPOMMERNS.;"Es kommt vom plattdeutschen ""klönen"" was so viel bedeutet, wie sich in entspanntem Umfeld zu unterhalten.";PLATTDEUTSCH FÜR: EIN SCHWÄTZCHEN HALTEN;EINE FORM VON PLATTDEUTSCH IM SÜDEN HOLSTEINS;EINE FORM VON PLATTDEUTSCH IM WESTEN VORPOMMERNS
48;WARUM LEUCHTET DER LEUCHTTURM?;SIE LOTSEN SCHIFFE SICHER IN DEN HAFEN.;DAMIT DIE FISCHE IM DUNKELN SEHEN KÖNNEN.;DAMIT KEINE FLUGZEUGE DAGEGEN FLIEGEN.;Vorallem nachts werden sie zu einem wichtigen Instrument zur Positionsbestimmung für Schiffe.;SIE LOTSEN SCHIFFE SICHER IN DEN HAFEN;DAMIT DIE FISCHE IM DUNKELN SEHEN KÖNNEN;DAMIT KEINE FLUGZEUGE DAGEGEN FLIEGEN
49;Gibt es an der Ostsee Ebbe und Flut?;Ja, aber kaum merklich.;Ja, stärker als an der Nordsee.;Nein.;Da die Ostsee beinahe ringsum von Land umschlossen ist, macht sich der Unterschied zwischen Ebbe und Flut für gewöhnlich kaum bemerkbar.;Ja, aber kaum merklich;Ja, stärker als an der Nordsee;Nein
50;Wie viele Kilometer beträgt die Länge der deutschen Ostseeküste?;2247 Kilometer.;834 Kilometer.;334 Kilometer.;Den größten Ostseeküstenanteil hat Schweden mit 3200 kilometern.;2247 Kilometer;834 Kilometer;334 Kilometer
